linea,agno,fmax
EXP_V__VI_01                  ,2029        ,        0.00
EXP_V__VI_01                  ,2030        ,        0.00
EXP_V__VI_01                  ,2031        ,        0.00
EXP_V__VI_01                  ,2032        ,        0.00
EXP_V__VI_01                  ,2033        ,        0.00
EXP_V__VI_01                  ,2034        ,        0.00
EXP_V__VI_01                  ,2035        ,        0.00
EXP_V__VI_01                  ,2036        ,        0.00
EXP_V__VI_01                  ,2037        ,        0.00
EXP_V__VI_01                  ,2038        ,        0.00
EXP_V__VI_01                  ,2039        ,        0.00
EXP_V__VI_01                  ,2040        ,        0.00
EXP_V__VI_01                  ,2041        ,        0.00
EXP_V__VI_01                  ,2042        ,        0.00
EXP_V__VI_01                  ,2043        ,        0.00
EXP_V__VI_01                  ,2044        ,        0.00
EXP_V__VI_01                  ,2045        ,        0.00
EXP_V__VI_01                  ,2046        ,        0.00
EXP_V__VI_01                  ,2047        ,        0.00
EXP_V__VI_01                  ,2048        ,        0.00
EXP_V__VI_01                  ,2049        ,        0.00
EXP_V__VI_01                  ,2050        ,        0.00
EXP_VIII__XIII_01             ,2017        ,        0.00
EXP_VIII__XIII_01             ,2018        ,        0.00
EXP_VIII__XIII_01             ,2019        ,        0.00
EXP_VIII__XIII_01             ,2020        ,        0.00
EXP_VIII__XIII_01             ,2021        ,        0.00
EXP_VIII__XIII_01             ,2022        ,        0.00
EXP_VIII__XIII_01             ,2023        ,        0.00
EXP_VIII__XIII_01             ,2024        ,        0.00
EXP_VIII__XIII_01             ,2025        ,        0.00
EXP_VIII__XIII_01             ,2026        ,        0.00
EXP_VIII__XIII_01             ,2027        ,        0.00
EXP_VIII__XIII_01             ,2028        ,        0.00
EXP_VIII__XIII_01             ,2029        ,        0.00
EXP_VIII__XIII_01             ,2030        ,        0.00
EXP_VIII__XIII_01             ,2031        ,        0.00
EXP_VIII__XIII_01             ,2032        ,        0.00
EXP_VIII__XIII_01             ,2033        ,        0.00
EXP_VIII__XIII_01             ,2034        ,        0.00
EXP_VIII__XIII_01             ,2035        ,        0.00
EXP_VIII__XIII_01             ,2036        ,        0.00
EXP_VIII__XIII_01             ,2037        ,        0.00
EXP_VIII__XIII_01             ,2038        ,        0.00
EXP_VIII__XIII_01             ,2039        ,        0.00
EXP_VIII__XIII_01             ,2040        ,        0.00
EXP_VIII__XIII_01             ,2041        ,        0.00
EXP_VIII__XIII_01             ,2042        ,        0.00
EXP_VIII__XIII_01             ,2043        ,        0.00
EXP_VIII__XIII_01             ,2044        ,        0.00
EXP_VIII__XIII_01             ,2045        ,        0.00
EXP_VIII__XIII_01             ,2046        ,        0.00
EXP_VIII__XIII_01             ,2047        ,        0.00
EXP_VIII__XIII_01             ,2048        ,        0.00
EXP_VIII__XIII_01             ,2049        ,        0.00
EXP_VIII__XIII_01             ,2050        ,        0.00
EXP_VI__XIII_01               ,2017        ,        0.00
EXP_VI__XIII_01               ,2018        ,        0.00
EXP_VI__XIII_01               ,2019        ,        0.00
EXP_VI__XIII_01               ,2020        ,        0.00
EXP_VI__XIII_01               ,2021        ,        0.00
EXP_VI__XIII_01               ,2022        ,        0.00
EXP_VI__XIII_01               ,2023        ,        0.00
EXP_VI__XIII_01               ,2024        ,        0.00
EXP_VI__XIII_01               ,2025        ,        0.00
EXP_VI__XIII_01               ,2026        ,        0.00
EXP_VI__XIII_01               ,2027        ,        0.00
EXP_VI__XIII_01               ,2028        ,        0.00
EXP_VI__XIII_01               ,2029        ,        0.00
EXP_VI__XIII_01               ,2030        ,        0.00
EXP_VI__XIII_01               ,2031        ,        0.00
EXP_VI__XIII_01               ,2032        ,        0.00
EXP_VI__XIII_01               ,2033        ,        0.00
EXP_VI__XIII_01               ,2034        ,        0.00
EXP_VI__XIII_01               ,2035        ,        0.00
EXP_VI__XIII_01               ,2036        ,        0.00
EXP_VI__XIII_01               ,2037        ,        0.00
EXP_VI__XIII_01               ,2038        ,        0.00
EXP_VI__XIII_01               ,2039        ,        0.00
EXP_VI__XIII_01               ,2040        ,        0.00
EXP_VI__XIII_01               ,2041        ,        0.00
EXP_VI__XIII_01               ,2042        ,        0.00
EXP_VI__XIII_01               ,2043        ,        0.00
EXP_VI__XIII_01               ,2044        ,        0.00
EXP_VI__XIII_01               ,2045        ,        0.00
EXP_VI__XIII_01               ,2046        ,        0.00
EXP_VI__XIII_01               ,2047        ,        0.00
EXP_VI__XIII_01               ,2048        ,        0.00
EXP_VI__XIII_01               ,2049        ,        0.00
EXP_VI__XIII_01               ,2050        ,        0.00
EXP_VII__XIII_01              ,2017        ,        0.00
EXP_VII__XIII_01              ,2018        ,        0.00
EXP_VII__XIII_01              ,2019        ,        0.00
EXP_VII__XIII_01              ,2020        ,        0.00
EXP_VII__XIII_01              ,2021        ,        0.00
EXP_VII__XIII_01              ,2022        ,        0.00
EXP_VII__XIII_01              ,2023        ,        0.00
EXP_VII__XIII_01              ,2024        ,        0.00
EXP_VII__XIII_01              ,2025        ,        0.00
EXP_VII__XIII_01              ,2026        ,        0.00
EXP_VII__XIII_01              ,2027        ,        0.00
EXP_VII__XIII_01              ,2028        ,        0.00
EXP_VII__XIII_01              ,2029        ,        0.00
EXP_VII__XIII_01              ,2030        ,        0.00
EXP_VII__XIII_01              ,2031        ,        0.00
EXP_VII__XIII_01              ,2032        ,        0.00
EXP_VII__XIII_01              ,2033        ,        0.00
EXP_VII__XIII_01              ,2034        ,        0.00
EXP_VII__XIII_01              ,2035        ,        0.00
EXP_VII__XIII_01              ,2036        ,        0.00
EXP_VII__XIII_01              ,2037        ,        0.00
EXP_VII__XIII_01              ,2038        ,        0.00
EXP_VII__XIII_01              ,2039        ,        0.00
EXP_VII__XIII_01              ,2040        ,        0.00
EXP_VII__XIII_01              ,2041        ,        0.00
EXP_VII__XIII_01              ,2042        ,        0.00
EXP_VII__XIII_01              ,2043        ,        0.00
EXP_VII__XIII_01              ,2044        ,        0.00
EXP_VII__XIII_01              ,2045        ,        0.00
EXP_VII__XIII_01              ,2046        ,        0.00
EXP_VII__XIII_01              ,2047        ,        0.00
EXP_VII__XIII_01              ,2048        ,        0.00
EXP_VII__XIII_01              ,2049        ,        0.00
EXP_VII__XIII_01              ,2050        ,        0.00
EXP_VI__VII_01                ,2017        ,        0.00
EXP_VI__VII_01                ,2018        ,        0.00
EXP_VI__VII_01                ,2019        ,        0.00
EXP_VI__VII_01                ,2020        ,        0.00
EXP_VI__VII_01                ,2021        ,        0.00
EXP_VI__VII_01                ,2022        ,        0.00
EXP_VI__VII_01                ,2023        ,        0.00
EXP_VI__VII_01                ,2024        ,        0.00
EXP_VI__VII_01                ,2025        ,        0.00
EXP_VI__VII_01                ,2026        ,        0.00
EXP_VI__VII_01                ,2027        ,        0.00
EXP_VI__VII_01                ,2028        ,        0.00
EXP_VI__VII_01                ,2029        ,        0.00
EXP_VI__VII_01                ,2030        ,        0.00
EXP_VI__VII_01                ,2031        ,        0.00
EXP_VI__VII_01                ,2032        ,        0.00
EXP_VI__VII_01                ,2033        ,        0.00
EXP_VI__VII_01                ,2034        ,        0.00
EXP_VI__VII_01                ,2035        ,        0.00
EXP_VI__VII_01                ,2036        ,        0.00
EXP_VI__VII_01                ,2037        ,        0.00
EXP_VI__VII_01                ,2038        ,        0.00
EXP_VI__VII_01                ,2039        ,        0.00
EXP_VI__VII_01                ,2040        ,        0.00
EXP_VI__VII_01                ,2041        ,        0.00
EXP_VI__VII_01                ,2042        ,        0.00
EXP_VI__VII_01                ,2043        ,        0.00
EXP_VI__VII_01                ,2044        ,        0.00
EXP_VI__VII_01                ,2045        ,        0.00
EXP_VI__VII_01                ,2046        ,        0.00
EXP_VI__VII_01                ,2047        ,        0.00
EXP_VI__VII_01                ,2048        ,        0.00
EXP_VI__VII_01                ,2049        ,        0.00
EXP_VI__VII_01                ,2050        ,        0.00
EXP_IV__VI_01                 ,2017        ,        0.00
EXP_IV__VI_01                 ,2018        ,        0.00
EXP_IV__VI_01                 ,2019        ,        0.00
EXP_IV__VI_01                 ,2020        ,        0.00
EXP_IV__VI_01                 ,2021        ,        0.00
EXP_IV__VI_01                 ,2022        ,        0.00
EXP_IV__VI_01                 ,2023        ,        0.00
EXP_IV__VI_01                 ,2024        ,        0.00
EXP_IV__VI_01                 ,2025        ,        0.00
EXP_IV__VI_01                 ,2026        ,        0.00
EXP_IV__VI_01                 ,2027        ,        0.00
EXP_IV__VI_01                 ,2028        ,        0.00
EXP_IV__VI_01                 ,2029        ,        0.00
EXP_IV__VI_01                 ,2030        ,        0.00
EXP_IV__VI_01                 ,2031        ,        0.00
EXP_IV__VI_01                 ,2032        ,        0.00
EXP_IV__VI_01                 ,2033        ,        0.00
EXP_IV__VI_01                 ,2034        ,        0.00
EXP_IV__VI_01                 ,2035        ,        0.00
EXP_IV__VI_01                 ,2036        ,        0.00
EXP_IV__VI_01                 ,2037        ,        0.00
EXP_IV__VI_01                 ,2038        ,        0.00
EXP_IV__VI_01                 ,2039        ,        0.00
EXP_IV__VI_01                 ,2040        ,        0.00
EXP_IV__VI_01                 ,2041        ,        0.00
EXP_IV__VI_01                 ,2042        ,        0.00
EXP_IV__VI_01                 ,2043        ,        0.00
EXP_IV__VI_01                 ,2044        ,        0.00
EXP_IV__VI_01                 ,2045        ,        0.00
EXP_IV__VI_01                 ,2046        ,        0.00
EXP_IV__VI_01                 ,2047        ,        0.00
EXP_IV__VI_01                 ,2048        ,        0.00
EXP_IV__VI_01                 ,2049        ,        0.00
EXP_IV__VI_01                 ,2050        ,        0.00
EXP_VII__VIII_01              ,2017        ,        0.00
EXP_VII__VIII_01              ,2018        ,        0.00
EXP_VII__VIII_01              ,2019        ,        0.00
EXP_VII__VIII_01              ,2020        ,        0.00
EXP_VII__VIII_01              ,2021        ,        0.00
EXP_VII__VIII_01              ,2022        ,        0.00
EXP_VII__VIII_01              ,2023        ,        0.00
EXP_VII__VIII_01              ,2024        ,        0.00
EXP_VII__VIII_01              ,2025        ,        0.00
EXP_VII__VIII_01              ,2026        ,        0.00
EXP_VII__VIII_01              ,2027        ,        0.00
EXP_VII__VIII_01              ,2028        ,        0.00
EXP_VII__VIII_01              ,2029        ,        0.00
EXP_VII__VIII_01              ,2030        ,        0.00
EXP_VII__VIII_01              ,2031        ,        0.00
EXP_VII__VIII_01              ,2032        ,        0.00
EXP_VII__VIII_01              ,2033        ,        0.00
EXP_VII__VIII_01              ,2034        ,        0.00
EXP_VII__VIII_01              ,2035        ,        0.00
EXP_VII__VIII_01              ,2036        ,        0.00
EXP_VII__VIII_01              ,2037        ,       33.00
EXP_VII__VIII_01              ,2038        ,       33.00
EXP_VII__VIII_01              ,2039        ,       33.00
EXP_VII__VIII_01              ,2040        ,       33.00
EXP_VII__VIII_01              ,2041        ,       33.00
EXP_VII__VIII_01              ,2042        ,       33.00
EXP_VII__VIII_01              ,2043        ,       33.00
EXP_VII__VIII_01              ,2044        ,       33.00
EXP_VII__VIII_01              ,2045        ,       33.00
EXP_VII__VIII_01              ,2046        ,       33.00
EXP_VII__VIII_01              ,2047        ,       33.00
EXP_VII__VIII_01              ,2048        ,       33.00
EXP_VII__VIII_01              ,2049        ,       33.00
EXP_VII__VIII_01              ,2050        ,       33.00
EXP_VI__VIII_01               ,2017        ,        0.00
EXP_VI__VIII_01               ,2018        ,        0.00
EXP_VI__VIII_01               ,2019        ,        0.00
EXP_VI__VIII_01               ,2020        ,        0.00
EXP_VI__VIII_01               ,2021        ,        0.00
EXP_VI__VIII_01               ,2022        ,        0.00
EXP_VI__VIII_01               ,2023        ,        0.00
EXP_VI__VIII_01               ,2024        ,        0.00
EXP_VI__VIII_01               ,2025        ,        0.00
EXP_VI__VIII_01               ,2026        ,        0.00
EXP_VI__VIII_01               ,2027        ,        0.00
EXP_VI__VIII_01               ,2028        ,        0.00
EXP_VI__VIII_01               ,2029        ,        0.00
EXP_VI__VIII_01               ,2030        ,        0.00
EXP_VI__VIII_01               ,2031        ,        0.00
EXP_VI__VIII_01               ,2032        ,        0.00
EXP_VI__VIII_01               ,2033        ,        0.00
EXP_VI__VIII_01               ,2034        ,        0.00
EXP_VI__VIII_01               ,2035        ,        0.00
EXP_VI__VIII_01               ,2036        ,        0.00
EXP_VI__VIII_01               ,2037        ,        0.00
EXP_VI__VIII_01               ,2038        ,      100.00
EXP_VI__VIII_01               ,2039        ,      100.00
EXP_VI__VIII_01               ,2040        ,      100.00
EXP_VI__VIII_01               ,2041        ,      100.00
EXP_VI__VIII_01               ,2042        ,      100.00
EXP_VI__VIII_01               ,2043        ,      100.00
EXP_VI__VIII_01               ,2044        ,      100.00
EXP_VI__VIII_01               ,2045        ,      100.00
EXP_VI__VIII_01               ,2046        ,      100.00
EXP_VI__VIII_01               ,2047        ,      100.00
EXP_VI__VIII_01               ,2048        ,      100.00
EXP_VI__VIII_01               ,2049        ,      100.00
EXP_VI__VIII_01               ,2050        ,      100.00
EXP_IX__VIII_01               ,2017        ,        0.00
EXP_IX__VIII_01               ,2018        ,        0.00
EXP_IX__VIII_01               ,2019        ,        0.00
EXP_IX__VIII_01               ,2020        ,        0.00
EXP_IX__VIII_01               ,2021        ,        0.00
EXP_IX__VIII_01               ,2022        ,        0.00
EXP_IX__VIII_01               ,2023        ,        0.00
EXP_IX__VIII_01               ,2024        ,        0.00
EXP_IX__VIII_01               ,2025        ,        0.00
EXP_IX__VIII_01               ,2026        ,        0.00
EXP_IX__VIII_01               ,2027        ,        0.00
EXP_IX__VIII_01               ,2028        ,        0.00
EXP_IX__VIII_01               ,2029        ,        0.00
EXP_IX__VIII_01               ,2030        ,        0.00
EXP_IX__VIII_01               ,2031        ,        0.00
EXP_IX__VIII_01               ,2032        ,        0.00
EXP_IX__VIII_01               ,2033        ,        0.00
EXP_IX__VIII_01               ,2034        ,        0.00
EXP_IX__VIII_01               ,2035        ,        0.00
EXP_IX__VIII_01               ,2036        ,        0.00
EXP_IX__VIII_01               ,2037        ,        0.00
EXP_IX__VIII_01               ,2038        ,        0.00
EXP_IX__VIII_01               ,2039        ,        0.00
EXP_IX__VIII_01               ,2040        ,        0.00
EXP_IX__VIII_01               ,2041        ,        0.00
EXP_IX__VIII_01               ,2042        ,      100.00
EXP_IX__VIII_01               ,2043        ,      100.00
EXP_IX__VIII_01               ,2044        ,      100.00
EXP_IX__VIII_01               ,2045        ,      100.00
EXP_IX__VIII_01               ,2046        ,      100.00
EXP_IX__VIII_01               ,2047        ,      100.00
EXP_IX__VIII_01               ,2048        ,      100.00
EXP_IX__VIII_01               ,2049        ,      100.00
EXP_IX__VIII_01               ,2050        ,      100.00
EXP_VIII__X-XIV_01            ,2017        ,        0.00
EXP_VIII__X-XIV_01            ,2018        ,        0.00
EXP_VIII__X-XIV_01            ,2019        ,        0.00
EXP_VIII__X-XIV_01            ,2020        ,        0.00
EXP_VIII__X-XIV_01            ,2021        ,        0.00
EXP_VIII__X-XIV_01            ,2022        ,        0.00
EXP_VIII__X-XIV_01            ,2023        ,        0.00
EXP_VIII__X-XIV_01            ,2024        ,        0.00
EXP_VIII__X-XIV_01            ,2025        ,        0.00
EXP_VIII__X-XIV_01            ,2026        ,        0.00
EXP_VIII__X-XIV_01            ,2027        ,        0.00
EXP_VIII__X-XIV_01            ,2028        ,        0.00
