parameter,sector,x_xl_designation,display
medida_biodigestores,Analytica_agriculture,xl,Medida Biodigestores
medida_cambio_dieta_bovina,Analytica_agriculture,xl,Medida Cambio Dieta Bovina
medida_captura_c_suelos,Analytica_agriculture,xl,Medida Captura C Suelos
medida_uso_eficiente_fertilizante,Analytica_agriculture,xl,Medida Uso Eficiente Fertilizante
precio_bovino,Analytica_agriculture,xl,Precio Bovino
precio_cerdo,Analytica_agriculture,xl,Precio Cerdo
precio_leche,Analytica_agriculture,xl,Precio Leche
precio_maiz,Analytica_agriculture,xl,Precio Maiz
precio_pollo,Analytica_agriculture,xl,Precio Pollo
precio_soya,Analytica_agriculture,xl,Precio Soya
poblacion_rural,Analytica_all,x,Poblacion Rural
poblacion_urbana,Analytica_all,x,Poblacion Urbana
trajmix_pib,Analytica_all,x,PIB
trajmix_poblacion,Analytica_all,x,Poblacion
incertidumbre_demanda_productos_forestales,Analytica_forestry,x,Incertidumbre Demanda Productos Forestales
incertidumbre_incendio_bn,Analytica_forestry,x,Incertidumbre Incendio Bn
incertidumbre_incendio_plantaciones,Analytica_forestry,x,Incertidumbre Incendio Plantaciones
incertidumbre_perdida_de_bosque_nativo,Analytica_forestry,x,Incertidumbre Perdida De Bosque Nativo
incertidumbre_rendimiento_bn,Analytica_forestry,x,Incertidumbre Rendimiento Bn
incertidumbre_rendimiento_plantacion,Analytica_forestry,x,Incertidumbre Rendimiento Plantacion
incertidumbre_var_demanda_legna,Analytica_forestry,x,Incertidumbre Var Demanda Legna
medida_forestacion_bn,Analytica_forestry,xl,Medida Forestacion Bn
medida_forestacion_plantaciones,Analytica_forestry,xl,Medida Forestacion Plantaciones
medida_incendio_bosque_nativo,Analytica_forestry,xl,Medida Incendio Bosque Nativo
medida_incendio_plantaciones_forestales,Analytica_forestry,xl,Medida Incendio Plantaciones Forestales
medida_plan_de_manejo,Analytica_forestry,xl,Medida Plan De Manejo
medida_sustitucion_degradacion,Analytica_forestry,xl,Medida Sustitucion Degradacion
trajmix_incertidumbre_megaincendio,Analytica_forestry,x,Incertidumbre Megaincendio
hfcmma,Analytica_ippu,x,Hfcmma
imp_clinker,Analytica_ippu,x,Imp Clinker
nueva_cap_recuperacion,Analytica_ippu,xl,Nueva Cap Recuperacion
supuestos_mma_ippu,Analytica_ippu,x,Supuestos Mma Ippu
tasa_fuga,Analytica_ippu,x,Tasa Fuga
tf_comercial,Analytica_ippu,x,Tf Comercial
tf_industrial,Analytica_ippu,x,Tf Industrial
cumplimiento_metas,Analytica_waste,x,Cumplimiento Metas
ef_captura,Analytica_waste,xl,Ef Captura
elast_res_ind_pib,Analytica_waste,x,Elast Res Ind Pib
inv_antorcha,Analytica_waste,xl,Inv Antorcha
inv_ptas,Analytica_waste,xl,Inv Ptas
ptas_antofa,Analytica_waste,x,Ptas Antofa
ptas_biobio,Analytica_waste,x,Ptas Biobio
ptas_valpo,Analytica_waste,x,Ptas Valpo
ptasls_coq,Analytica_waste,x,Ptasls Coq
rs_arauc,Analytica_waste,x,Rs Arauc
rs_aysen,Analytica_waste,x,Rs Aysen
rs_coq,Analytica_waste,x,Rs Coq
rs_magallanes,Analytica_waste,x,Rs Magallanes
rs_tarapaca,Analytica_waste,x,Rs Tarapaca
rs_valpo,Analytica_waste,x,Rs Valpo
supuestos_mma_waste,Analytica_waste,x,Supuestos Mma Waste
electrolyzer_efficiency,all,x,Electrolyzer Efficiency
share_electric_grid_to_hydrogen,all,x,Share Electric Grid To Hydrogen
commercial_acs_diesel,commercial,x,Commercial Acs Diesel
commercial_acs_natural_gas,commercial,x,Commercial Acs Natural Gas
commercial_acs_pliqgas,commercial,x,Commercial Acs Pliqgas
commercial_activity_acs,commercial,x,Commercial Activity Acs
commercial_activity_heating,commercial,x,Commercial Activity Heating
commercial_activity_motive,commercial,x,Commercial Activity Motive
commercial_activity_other,commercial,x,Commercial Activity Other
commercial_dem_acs,commercial,x,Commercial Dem Acs
commercial_dem_heating,commercial,x,Commercial Dem Heating
commercial_dem_motive,commercial,x,Commercial Dem Motive
commercial_dem_other,commercial,x,Commercial Dem Other
commercial_efficiency_acs_diesel,commercial,x,Commercial Efficiency Acs Diesel
commercial_efficiency_acs_natural_gas,commercial,x,Commercial Efficiency Acs Natural Gas
commercial_efficiency_acs_pliqgas,commercial,x,Commercial Efficiency Acs Pliqgas
commercial_efficiency_heating_diesel,commercial,x,Commercial Efficiency Heating Diesel
commercial_efficiency_heating_electric,commercial,x,Commercial Efficiency Heating Electric
commercial_efficiency_heating_natural_gas,commercial,x,Commercial Efficiency Heating Natural Gas
commercial_efficiency_heating_pliqgas,commercial,x,Commercial Efficiency Heating Pliqgas
